ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
FOSL1	98	124	98	31	67	38
FOSL2	1911	1763	2165	72	54	59
FOXA1	2	6	23	1	1	0.05
FOXA2	0.05	0.05	0.05	1	2	2
FOXA3	4	3	3	182	183	185
FOXB1	2	0.05	0.05	8	23	12
FOXB2	0.05	0.05	0.05	0.05	1	3
FOXC1	175	192	192	3	1	5
FOXC2	12	27	19	0.05	0.05	0.05
FOXD1	22	23	15	2	6	8
FOXD2	1	1	2	0.05	1	3
FOXD2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FOXD3	0.05	0.05	0.05	68	213	184
FOXD4	1	1	0.05	2	6	2
FOXD4L1	2	1	0.05	0.05	0.05	1
FOXD4L2	0.05	0.05	0.05	0.05	0.05	0.05
FOXD4L3	0.05	0.05	0.05	0.05	1	1
FOXD4L4	2	0.05	0.05	1	0.05	0.05
FOXD4L5	1	1	0.05	0.05	1	0.05
FOXD4L6	0.05	0.05	0.05	0.05	0.05	0.05
FOXE1	0.05	0.05	2	2	1	1
FOXE3	4	0.05	1	0.05	0.05	0.05
FOXF1	11	0.05	1	1	1	1
FOXF2	0.05	0.05	0.05	0.05	0.05	0.05
FOXG1	0.05	2	0.05	1	3	0.05
FOXH1	2	1	1	625	767	772
FOXI1	0.05	0.05	0.05	4	6	3
FOXI2	0.05	0.05	0.05	59	37	37
FOXI3	1	3	4	239	220	219
FOXJ1	3	2	1	24	68	56
FOXJ2	773	750	846	195	197	221
FOXJ3	939	862	866	1431	1366	1238
FOXK1	448	379	462	133	88	117
FOXK2	783	749	777	785	781	726
FOXL1	35	42	36	0.05	0.05	1
FOXL2	24	21	16	2	5	6
FOXM1	337	185	277	1988	2049	1870
FOXN1	0.05	0.05	0.05	0.05	0.05	0.05
FOXN2	162	140	112	243	249	266
FOXN3	1184	1543	1526	1680	1705	1595
FOXN3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FOXN3-AS2	0.05	0.05	0.05	0.05	0.05	0.05
FOXN4	0.05	1	0.05	7	3	4
FOXO1	603	649	693	1587	1508	1413
FOXO3	712	783	872	360	448	405
FOXO4	390	353	258	706	382	627
FOXO6	59	30	43	97	84	89
FOXP1	628	530	645	574	348	336
FOXP2	5	6	4	0.05	0.05	2
FOXP3	2	0.05	5	9	23	12
FOXP4	401	334	370	365	304	371
FOXQ1	2	1	0.05	0.05	2	0.05
FOXR1	0.05	0.05	0.05	0.05	1	0.05
FOXR2	0.05	0.05	0.05	0.05	0.05	0.05
FOXRED1	180	123	191	556	590	647
FOXRED2	131	107	108	377	343	349
FOXS1	5	3	0.05	0.05	0.05	0.05
FPGS	246	224	288	436	476	476
FPGT	234	260	313	209	154	150
FPGT-TNNI3K	1.7	0.4	2.8	0.4	4	0.5
FPR1	3	0.05	0.05	0.05	1	0.05
FPR2	0.05	0.05	0.05	1	1	0.05
FPR3	1	1	1	0.05	0.05	0.05
FRA10AC1	180	194	229	308	306	305
FRAS1	1642	1776	2540	3198	1661	1925
FRAT1	12	7	8	150	75	93
FRAT2	62	65	68	2873	1679	2007
FREM1	53	41	94	49	22	8
FREM2	1358	1098	1845	758	611	719
FREM3	0.05	0.05	0.05	0.05	1	1
FRG1	195	218	241	412	398	408
FRG2	0.05	0.05	0.05	0.05	1	0.05
FRG2B	0.05	0.05	0.05	0.05	0.05	0.05
FRG2C	0.05	0.05	0.05	0.05	0.05	0.05
FRK	21	10	9	4	8	2
FRMD1	0.05	0.05	0.05	1	1	1
FRMD3	3	4	0.05	12	9	8
FRMD4A	440	441	389	221	177	178
FRMD4B	556	607	649	35	28	27
FRMD5	327	290	302	140	107	91
FRMD6	4742	4836	4700	166	129	137
FRMD6-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FRMD6-AS2	0.05	0.05	0.05	0.05	0.05	0.05
FRMD7	0.05	0.05	0.05	0.05	3	0.05
FRMD8	354	287	374	213	164	163
FRMPD1	2	0.05	0.05	13	5	2
FRMPD2	4	2	5	17	6	12
FRMPD3	13	13	16	25	19	27
FRMPD4	213	399	404	6	14	7
FRRS1	51	41	49	62	49	59
FRRS1L	1	0.05	1	3	3	1
FRS2	602	526	538	597	464	443
FRS3	38	30	36	35	49	46
FRY	42	41	28	477	342	329
FRY-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FRYL	593	686	700	459	435	425
FRZB	208	2	4	134	46	37
FSBP	29	31.5	29.5	94.5	58.5	68
FSCB	0.05	0.05	0.05	0.05	0.05	0.05
FSCN1	4085	3311	3441	1006	1580	1570
FSCN2	10	8	10	4	3	1
FSCN3	1	0.05	1	1	3	0.05
FSD1	47	22	22	396	409	390
FSD1L	57	45	49	133	94	104
FSD2	1	0.05	0.05	3	2	0.05
FSHB	0.05	0.05	0.05	0.05	0.05	0.05
FSHR	11	6	0.05	0.05	0.05	0.05
FSIP1	2	4	7	14	15	17
FSIP2	36	31	36	47	47	49
FST	972	948	1010	1103	541	693
FSTL1	35500	37462	38062	6547	4346	5089
FSTL3	2577	2360	2891	96	101	71
FSTL4	1	1	2	31	25	42
FSTL5	2	1	0.05	3	8	14
FTCD	0.05	3	1	10	10	2
FTCDNL1	0.05	0.05	0.05	0.05	0.05	0.05
FTH1	4525	4500	4704	4445	5564	5310
FTH1P18	0.05	0.05	0.05	0.05	0.05	0.05
FTHL17	0.05	0.05	0.05	0.05	0.05	0.05
FTL	4281	4064	3950	6317	8263	7666
FTMT	0.05	0.05	0.05	0.05	0.05	0.05
FTO	397	403	398	567	516	520
FTO-IT1	0.05	0.05	0.05	0.05	0.05	0.05
FTSJ1	269	243	270	314	387	354
FTSJ2	209	179	214	422	530	439
FTSJ3	547	510	581	1441	1674	1425
FTX	0.05	0.05	0.05	0.05	0.05	0.05
FUBP1	1430	1263	1554	4609	4249	4056
FUBP3	833	822	962	1488	1467	1490
FUCA1	325	337	374	229	210	205
FUCA2	820	729	771	728	707	798
FUK	107	75	91	129	138	119
FUNDC1	138	130	132	211	237	245
FUNDC2	181	202	173	206	203	192
FUOM	39	26	25	93	128	95
FURIN	3142	2653	3076	388	457	431
FUS	2683	2358	2957	7509	9938	8612
FUT1	26	34	40	81	88	84
FUT2	9	8	12	93	58	63
FUT3	2	1	3	0.05	0.05	0.05
FUT4	398	349	440	70	86	70
FUT5	0.05	0.05	0.05	0.05	0.05	1
FUT6	0.05	0.05	0.05	0.05	0.05	0.05
FUT7	0.05	0.05	1	0.05	0.05	1
FUT8	2011	2161	2393	432	311	350
FUT8-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FUT9	9	11	6	106	68	98
FUT10	128	114	126	197	173	157
FUT11	167.741	170.175	186	77.9	81.793	79.974
FUZ	63	54	50	316	351	310
FXN	71	62	67	271	266	248
FXR1	1531	1629	1699	3926	3782	3781
FXR2	616	570	658	581	643	587
FXYD1	0.05	1	2	15	23	23
FXYD2	1	0.05	0.05	2	0.6	2.6
FXYD3	16	2	3	0.05	2	2
FXYD4	0.05	0.05	0.05	3	1	1
FXYD5	595	627	607	339	603	591
FXYD6	102.024	33.976	62.81	594.81	249.952	354.238
FXYD6-FXYD2	2.976	1.024	1.19	18.19	7.448	14.162
FXYD7	0.05	1	0.05	23	43	47
FYB	7	1	4	0.05	0.05	0.05
FYCO1	379	353	409	247	241	241
FYN	690	622	596	1124	1083	1047
FYTTD1	1027	1131	1159	267	338	279
FZD1	581	512	538	40	29	34
FZD2	1414	1092	1198	234	114	181
FZD3	401	347	379	763	492	509
FZD4	345	452	490	108	96	108
FZD5	117	125	128	1421	715	833
FZD6	1472	1473	1714	207	144	166
FZD7	857	697	737	2651	2396	2591
FZD8	521	676	661	562	274	334
FZD9	7	3	2	22	9	11
FZD10	13	11	5	44	33	32
FZD10-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FZR1	896	905	1000	428	523	500
G0S2	3	1	1	8	6	4
G2E3	358	371	363	1202	882	961
G3BP1	1372	1540	1581	4496	4345	4162
G3BP2	2585	2592	2857	6823	5413	5539
G6PC	1	0.05	0.05	0.05	0.05	0.05
G6PC2	0.05	0.05	0.05	0.05	0.05	0.05
G6PC3	410	315	416	767	924	867
G6PD	635	611	595	625	669	627
GAA	631	649	724	517	442	435
GAB1	584	646	626	419	338	343
GAB2	411	508	612	280	276	222
GAB3	6	2	1	6	7	6
GAB4	0.05	0.05	0.05	0.05	0.05	0.05
GABARAP	1259	1303	1392	1249	1142	1323
GABARAPL1	1784	1894	1480	1224	1448	1235
GABARAPL2	503	559	516	438	502	542
GABBR1	438	342	323	498	573	475
GABBR2	115	132	60	26	21	23
GABPA	379	337	400	563	436	437
GABPB1	326	308	326	558	509	537
GABPB1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GABPB2	26	19	28	40	36	30
GABRA1	0.05	0.05	0.05	1	4	2
GABRA2	6	5	13	2	3	3
GABRA3	9	6	8	68	41	67
GABRA4	4	0.05	1	0.05	2	0.05
GABRA5	89	107	91	57	68	68
GABRA6	0.05	0.05	0.05	0.05	0.05	0.05
GABRB1	0.05	2	4	1	0.05	1
GABRB2	4	0.05	1	24	20	28
GABRB3	389	329	335	2058	2419	2424
GABRD	0.05	0.05	0.05	8	13	25
GABRE	11	3	6	32	22	25
GABRG1	0.05	0.05	0.05	1	8	2
GABRG2	0.05	0.05	0.05	12	8	14
GABRG3	16	23	21	2	1	0.05
GABRP	19966	31299	38202	42	20	15
GABRQ	2	4	0.05	45	43	41
GABRR1	0.05	0.05	0.05	5	2	4
GABRR2	11	14	13	0.05	2	2
GABRR3	0.05	0.05	0.05	0.05	0.05	0.05
GAD1	15	6	4	35	7	12
GAD2	0.05	0.05	0.05	2	5	2
GADD45A	822	1157	1025	145	147	123
GADD45B	941	1027	1283	56	41	51
GADD45G	106	89	143	59	127	94
GADD45GIP1	216	209	269	589	702	668
GADL1	1	0.05	1	2	1	1
GAGE1	0.05	0.05	0.05	0.05	0.05	0.05
GAGE2A	0.05	0.05	0.05	0.05	0.05	0.05
GAGE2B	0.05	0.05	0.05	0.05	0.05	0.05
GAGE2C	0.05	0.05	0.05	0.05	0.05	0.05
GAGE2D	0.05	0.05	0.05	0.05	0.05	0.05
GAGE2E	0.05	0.05	0.05	0.05	0.05	0.05
GAGE10	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12C	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12D	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12E	0.05	0.05	0.05	1	0.05	0.05
GAGE12F	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12G	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12H	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12I	0.05	0.05	0.05	0.05	0.05	0.05
GAGE12J	0.05	0.05	0.05	0.05	0.05	0.05
GAGE13	0.05	0.05	0.05	0.05	0.05	0.05
GAK	683	587	771	864	877	774
GAL	50	27	27	506	1059	1029
GAL3ST1	5	0.05	1	21	25	23
GAL3ST2	0.05	0.05	0.05	4	0.05	3
GAL3ST3	1	3	3	106	116	140
GAL3ST4	29	14	10	38	36	33
GALC	603	664	627	239	233	209
GALE	385	421	475	144	245	179
GALK1	95	120	133	133	101	100
GALK2	71	70	91	85	87	95
GALM	51	44	40	182	189	177
GALNS	341	266	346	263	220	229
GALNT1	1855	1995	2180	1739	1534	1599
GALNT2	6880	7181	7982	1267	1173	1129
GALNT3	594	786	625	224	326	245
GALNT4	154	164	129	18.667	52	71
GALNT5	76	51	43	16	23	16
GALNT6	1535	1603	1845	126	98	115
GALNT7	1955	2015	2110	2623	2741	2707
GALNT8	0.05	0.05	0.05	23	21	20
GALNT9	0.05	0.05	0.05	49	55	97
GALNT9	0.05	0.05	0.05	78	51	126
GALNT10	1698	1566	1879	172	130	137
GALNT11	594	599	690	430	383	401
GALNT12	68	61	38	206	158	164
GALNT13	68	80	102	145	142	149
GALNT14	17	4	6	58	41	39
GALNT15	4	0.05	0.05	1	0.05	0.05
GALNT16	15	17	21	33	21	47
GALNT18	32	13	17	40	42	24
GALNTL5	0.05	0.05	0.05	1	2	0.05
GALNTL6	1	0.05	1	0.05	1	4
GALP	0.05	0.05	0.05	0.05	0.05	0.05
GALR1	0.05	0.05	0.05	2	2	0.05
GALR2	1	0.05	2	1	1	1
GALR3	0.05	0.05	0.05	2	0.05	0.05
GALT	150	133	151	186	148	177
GAMT	94	79	69	65	74	78
GAN	56	70	84	91	115	85
GANAB	5704	5475	6058	5326	4820	5059
GANC	76	53	74	142	152	172
GAP43	18	2	4	432	569	473
GAPDH	4537	5179	5398	11432	12176	11918
GAPDHS	13	11	19	73	51	59
GAPT	0.05	0.05	0.05	0.05	0.05	0.05
GAPVD1	641	617	651	802	892	797
GAR1	249	218	265	508	508	480
GAREM	83	78	108	184	136	144
GAREML	68	60	62	213	120	187
GARNL3	44	34	48	39	26	31
GARS	2170	2738	2529	3756	4845	4549
GART	628	603	649	2281	2557	2461
GAS1	156	84	149	43	30	43
GAS2	6	0.05	3	4	5	1
GAS2L1	170	119	135	18	31	17
GAS2L2	2	0.05	0.05	0.05	0.05	0.05
GAS2L3	62	56	70	120	74	96
GAS5	0.05	0.05	0.05	0.05	0.05	0.05
GAS5-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GAS6	3463	3736	3186	319	296	364
GAS6-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GAS6-AS2	0.05	0.05	0.05	0.05	0.05	0.05
GAS7	210	92	131	265	79	121
GAS8	115	97	108	267	242	262
GAST	0.05	0.05	0.05	0.05	0.05	0.05
GATA1	0.05	0.05	0.05	0.05	1	0.05
GATA2	98	51	45	145	66	76
GATA3	1054	1034	1105	5	3	1
GATA3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GATA4	26	0.05	1	0.05	1	2
GATA5	13	0.05	1	18	8	10
GATA6	247	219	213	6	3	2
GATA6-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GATAD1	498	521	542	583	589	558
GATAD2A	1069	966	952	1460	1552	1521
GATAD2B	420	361	385	492	396	374
GATC	1070	1120	1109	1788	1733	1784
GATM	37	44	41	78	116	86
GATM-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GATS	71	37	60	107	76	91
GATSL1	6	6	6	27	16	25
GATSL2	14	14	10	36	31	35
GATSL3	138	126	142	42	42	41
GBA	455	462	490	276	261	286
GBA2	593	519	568	1045	954	967
GBA3	0.05	0.05	0.05	0.05	0.05	0.05
GBAS	514	534	564	475	397	360
GBE1	309	411	387	254	367	256
GBF1	1243	1205	1475	908	979	763
GBGT1	61	45	58	41	38	31
GBP1	156	210	245	1	0.05	0.05
GBP2	124	72	100	1	6	3
GBP3	204	221	229	0.05	0.05	0.05
GBP4	35	0.05	1	1	1	1
GBP5	0.05	0.05	0.05	1	0.05	0.05
GBP6	4	5	5	1	1	0.05
GBP7	0.05	0.05	0.05	0.05	0.05	0.05
GBX1	1	0.05	0.05	2	0.05	0.05
GBX2	0.05	1	1	4	10	7
GC	0.05	0.05	1	1	2	0.05
GCA	171	222	264	422	347	318
GCAT	56	59	83	167	229	185
GCC1	365	388	479	321	285	286
GCC2	679	629	670	1091	923	914
GCDH	100	84	86	575	521	541
GCFC2	162	171	207	255	278	254
GCG	0.05	0.05	0.05	0.05	0.05	0.05
GCGR	0.05	0.05	0.05	0.05	0.05	0.05
GCH1	60	69	47	142	136	125
GCHFR	24	21	22	62	67	48
GCK	7	5	3	2	7	5
GCKR	3	0.05	0.05	2	6	1
GCLC	263	283	326	841	862	883
GCLM	285	380	367	284	508	332
GCM1	3	0.05	3	0.05	0.05	0.05
GCM2	0.05	0.05	0.05	0.05	0.05	0.05
GCN1L1	1755	1638	2105	3070	2842	2605
GCNT1	804	876	1070	1077	512	625
GCNT2	342	346	520	722	716	635
GCNT3	0.05	0.05	0.05	0.05	0.05	0.05
GCNT4	356	512	541	32	33	29
GCNT7	2	0.05	2	0.05	0.05	1
GCOM1	0.05	0.333	0.286	0.905	0.619	2.226
GCSAM	24	21	13	7	10	12
GCSAML	3	1	2	0.05	0.05	0.05
GCSAML-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GCSH	178	225	197	416	415	425
GDA	6	2	12	55	21	37
GDAP1	130	122	126	606	829	634
GDAP1L1	1	0.05	0.05	57	43	63
GDAP2	223	235	248	309	263	291
GDE1	1079	1205	1105	795	737	711
GDF1	5.583	3.25	4.25	21	23.333	21.5
GDF2	0.05	0.05	0.05	0.05	0.05	0.05
GDF3	0.05	0.05	0.05	23	35	43
GDF5	4	1	1	0.05	0.05	0.05
GDF6	2919	2975	3872	7	0.05	2
GDF7	2	0.05	0.05	0.05	0.05	0.05
GDF9	3	6	0.05	6	7	3
GDF10	0.05	0.05	0.05	0.05	1	0.05
GDF11	226	186	187	807	799	797
GDF15	156	209	178	37	119	119
GDI1	1510	1643	1772	1070	1260	1066
GDI2	3062	3378	3525	4963	4396	4449
GDNF	477	407	624	7	6	1
GDNF-AS1	15	9	21	3	2	2
GDPD1	33	37	23	62	31	29
GDPD2	2	0.05	0.05	548	145	244
GDPD3	11	3	5	8	6	12
GDPD4	0.05	0.05	1	0.05	0.05	0.05
GDPD5	70	65	68	56	29	37
GDPGP1	5	11	3	14	16	17
GEM	15	5	6	18	29	30
GEMIN2	102	80	83	239	320	269
GEMIN4	192	141	196	596	583	528
GEMIN5	305	282	273	1074	1040	799
GEMIN6	55	55	63	171	149	157
GEMIN7	137	120	146	272	317	322
GEMIN8	209	213	226	456	428	426
GEN1	232	218	209	556	470	417
GET4	315	272	352	703	774	768
GFAP	1	1	0.05	1	3	4
GFER	144	124	153	389	442	472
GFI1	3	5	3	3	2	1
GFI1B	0.05	0.05	0.05	0.05	0.05	0.05
GFM1	535	506	546	982	978	911
GFM2	462	445	481	542	603	534
GFOD1	116	148	172	11	18	17
GFOD2	222	216	210	274	285	255
GFPT1	2288	2369	2715	2026	1832	1763
GFPT2	157	20	28	1486	1858	1682
GFRA1	62	42	31	24	63	29
GFRA2	14	2	0.05	5	11	9
GFRA3	4	1	0.05	10	14	11
GFRA4	0.05	0.05	0.05	0.05	0.05	0.05
GFRAL	0.05	0.05	0.05	0.05	0.05	0.05
GGA1	380	402	403	597	551	539
GGA2	591	541	604	1378	1257	1276
GGA3	363	390	471	726	686	701
GGACT	54	66	63	11	7	17
GGCT	394	410	424	1017	875	986
GGCX	831	731	856	515	561	558
GGH	530	417	492	156	257	231
GGN	1	1	6	1	7	7
GGNBP2	866	831	888	712	669	665
GGPS1	373	394	415	431	396	401
GGT1	22	11	13	98	74	67
GGT2	40	32	41	11	1	4
GGT5	13	17	18	1	1	0.05
GGT6	0.05	0.05	0.05	0.05	0.05	1
GGT7	162	137	206	277	275	250
GGTLC1	2	3	6	4	7	7
GGTLC2	13	8	12	11	11	14
GH1	0.05	0.05	0.05	0.05	2	0.05
GH2	0.05	0.05	0.05	0.05	3	4
GHDC	41	25	34	84	72	91
GHITM	1201	1474	1381	1967	2407	2114
GHR	158	92	59	25	12	31
GHRH	0.05	0.05	0.05	1	0.05	0.05
GHRHR	0.05	0.05	0.05	0.05	0.05	0.05
GHRL	0.05	0.05	0.05	5	1	3
GHRLOS	0.05	0.05	0.05	0.05	0.05	0.05
GHSR	0.05	0.05	0.05	0.05	0.05	0.05
GID4	112	114	121	216	208	185
GID8	853	812	886	1247	1134	1146
GIF	0.05	1	0.05	0.05	1	0.05
GIGYF1	621	508	621	2908	2822	2604
GIGYF2	788	842	867	1612	1472	1445
GIMAP1	0.05	0.05	0.05	0.05	0.05	0.05
GIMAP1-GIMAP5	0.05	0.05	0.05	0.05	0.05	0.05
GIMAP2	0.05	0.05	0.05	0.05	0.05	0.05
GIMAP4	0.05	0.05	0.05	1	7	3
GIMAP5	0.05	0.05	0.05	0.05	0.05	0.05
GIMAP6	0.05	0.05	0.05	0.05	0.05	0.05
GIMAP7	0.05	0.05	0.05	0.05	1	0.05
GIMAP8	0.05	0.05	0.05	0.05	0.05	0.05
GIMD1	0.05	0.05	0.05	0.05	0.05	0.05
GIN1	54	53	38	117	129	100
GINM1	431	505	545	195	199	188
GINS1	155	122	132	891	872	873
GINS2	93	67	70	594	544	547
GINS3	51	27	50	230	219	192
GINS4	131	80	92	732	629	684
GIP	0.05	0.05	1	1	0.05	1
GIPC1	1195	1145	1264	555	661	645
GIPC2	6	8	2	19	8	7
GIPC3	5	10	4	8	6	8
GIPR	3	3	2	1	1	2
GIT1	447	402	526	828	661	709
GIT2	435	402	437	293	351	290
GJA1	2649	2178	2130	21900	16302	18147
GJA3	5	6	5	8	8	9
GJA4	0.05	0.05	0.05	6	1	1
GJA5	260	293	247	3	0.05	1
GJA8	0.05	0.05	1	0.05	0.05	0.05
GJA9	3	1	2	10	7	10
GJA9-MYCBP	0.05	0.05	0.05	0.05	0.05	0.05
GJA10	0.05	0.05	0.05	0.05	0.05	0.05
GJB1	0.05	0.05	0.05	0.05	1	0.05
GJB2	21	16	28	9	10	16
GJB3	37	27	15	1	3	4
GJB4	0.05	1	1	0.05	0.05	0.05
GJB5	6	8	6	2	2	1
GJB6	7	1	8	3	5	1
GJB7	2	5	0.05	20	11	11
GJC1	631	440	469	916	493	573
GJC2	7	4	1	3	2	2
GJC3	0.05	0.05	0.05	10	5	7
GJD2	2	1	4	0.05	0.05	0.05
GJD3	46	55	50	9	4	6
GJD4	0.05	0.05	0.05	0.05	1	1
GK	15	5	7	121	146	127
GK2	0.05	0.05	0.05	0.05	0.05	0.05
GK5	264	285	257	201	205	210
GKAP1	28	20	30	84	71	75
GKN1	1	0.05	0.05	0.05	0.05	0.05
GKN2	0.05	0.05	0.05	0.05	0.05	0.05
GLA	176	184	178	360	594	507
GLB1	546.2	508	579.65	228.2	221.6	443.105
GLB1L	46	45	43	39	48	59
GLB1L2	13	6	11	82	113	90
GLB1L3	0.05	2	0.05	431	338	513
GLCCI1	474	443	488	405	309	324
GLCE	236	207	237	124	132	162
GLDC	70	29	40	629	718	694
GLDN	9	1	7	6	0.05	0.05
GLE1	330	333	399	411	405	338
GLG1	3047	2738	3185	2418	2378	2120
GLI1	21	13	19	458	388	483
GLI2	583	457	565	935	960	928
GLI3	265	183	279	530	408	382
GLI4	87	73	83	113	118	78
GLIPR1	1097	995	1105	99	101	89
GLIPR1L1	3	1	2	11	8	5
GLIPR1L2	7	11	6	5	4	3
GLIPR2	574	650	692	1458	494	599
GLIS1	0.05	0.05	0.05	7	6	15
GLIS2	377	370	362	202	187	188
GLIS3	533	492	513	7	5	0.05
GLIS3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GLMN	151	144	147	516	494	507
GLO1	1343	1400	1422	2950	2917	2745
GLOD4	486	481	488	1116	1171	1164
GLOD5	0.05	2	0.05	0.05	1	2
GLP1R	0.05	0.05	0.05	15	7	8
GLP2R	6	5	7	0.05	0.05	0.05
GLRA1	0.05	0.05	0.05	0.05	1	0.05
GLRA2	1	0.05	0.05	0.05	0.05	1
GLRA3	1	0.05	0.05	2	1	1
GLRA4	0.05	0.05	0.05	12	8	6
GLRB	50	26	50	11	3	6
GLRX	481	456	415	53	72	68
GLRX2	80	93	86	54	61	57
GLRX3	521	591	524	1239	1442	1284
GLRX5	315	259	309	601	589	644
GLS	2626	2606	2443	1026	967	953
GLS2	7	2	3	122	101	120
GLT1D1	4	5	2	154	80	121
GLT6D1	0.05	0.05	0.05	0.05	3	0.05
GLT8D1	940	955	972	408	402	368
GLT8D2	24	13	16	31	41	26
GLTP	186	181	199	130	114	112
GLTPD1	232	163	201	108	109	124
GLTPD2	23	18	25	4	4	5
GLTSCR1	189	117	170	380	466	404
GLTSCR1L	143	182	142	390	350	344
GLTSCR2	788	917	996	1973	1982	1967
GLUD1	791	764	789	1112	1242	1139
GLUD2	248	302	316	401	477	433
GLUL	1270	1072	1156	3815	2648	2833
GLYAT	1	0.05	0.05	0.05	0.05	0.05
GLYATL1	0.05	0.05	0.05	49	32	32
GLYATL2	0.05	0.05	0.05	0.05	0.05	0.05
GLYATL3	0.05	0.05	0.05	0.05	0.05	0.05
GLYCTK	43	39	32	60	93	59
GLYR1	895	885	1063	2050	2080	2018
GM2A	825	769	814	470	460	435
GM140	0.05	0.05	0.05	0.05	0.05	0.05
GMCL1	139	162	155	335	265	261
GMDS	95	95	135	297	303	295
GMDS-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GMEB1	126	120	155	179	210	221
GMEB2	180	146	192	313	302	304
GMFB	1273	1239	1257	2084	1865	1887
GMFG	0.05	1	0.05	2	2	3
GMIP	163	135	171	107	103	120
GML	0.05	0.05	0.05	0.05	0.05	0.05
GMNC	1	0.05	0.05	2	2	0.05
GMNN	177	134	159	933	992	866
GMPPA	384	409	453	326	377	315
GMPPB	193	165	206	248	271	235
GMPR	16	26	43	1	6	2
GMPR2	361	360	383	668	745	674
GMPS	655	640	740	1756	1590	1562
GNA11	266	234	248	165	138	149
GNA12	1699	1727	2087	1029	1459	1295
GNA13	1229	1331	1259	1548	1437	1355
GNA14	61	128	133	96	137	147
GNA15	0.05	0.05	0.05	3	1	2
GNAI1	359	391	408	256	298	235
GNAI2	2695	2440	2569	2345	2104	2216
GNAI3	1543	1609	1661	2175	2047	1886
GNAL	155	131	116	310	210	254
GNAO1	248	283	231	581	510	609
GNAQ	431	493	510	498	401	379
GNAS	12155	11817	13107	7438	6521	6836
GNAS-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GNAT1	0.05	0.05	0.05	0.05	1	0.05
GNAT2	2	4	3	5	3	3
GNAT3	3	8	5	0.05	1	0.05
GNAZ	108	114	155	203	98	123
GNB1	5084	5268	5678	3897	3922	3854
GNB1L	45	43	45.454	254.6	239.467	66.701
GNB2	1986	1808	2041	1407	1640	1614
GNB2L1	4533	5087	5280	10591	11213	11193
GNB3	54	32	60	84	64	51
GNB4	842	912	925	420	316	353
GNB5	294	353	342	253	217	264
GNE	218	229	223	217	247	228
GNG2	60	12	12	158	121	131
GNG3	5	4	3	65	114	79
GNG4	74	77	91	330	267	327
GNG5	872	871	954	567	653	625
GNG7	23	13	26	124	105.042	150
GNG8	0.05	0.05	0.05	2	1	1
GNG10	477	617	598	290	302	315
GNG11	47	12	14	17	17	18
GNG12	1204	1215	1140	234	150	161
GNG12-AS1	0.05	0.05	0.05	0.05	0.05	0.05
GNG13	3	1	1	3	0.05	7
GNGT1	0.05	0.05	0.05	0.05	0.05	0.05
GNGT2	0.05	0.05	0.05	4	2	3
GNL1	588	574	632	674	900	789
GNL2	833	791	944	1674	1836	1654
GNL3	698	709	714	2481	2635	2343
GNL3L	377	355	441	662	674	590
GNLY	0.05	0.05	0.05	1	0.05	0.05
GNMT	1	2	0.05	3	2	11
GNPAT	584	581	607	911	787	811
GNPDA1	471	483	472	1196	1600	1321
GNPDA2	168	183	169	189	154	179
GNPNAT1	492	561	560	800	710	752
GNPTAB	1432	1597	1583	1714	1488	1386
GNPTG	353	331	360	220	172	187
GNRH1	9	14	16	11	5	12
GNRH2	0.05	0.05	1	0.05	0.05	0.05
GNRHR	4	2	3	1	3	2
GNS	2131	2108	2133	726	601	667
GOLGA1	334	346	392	231	269	225
GOLGA2	1330	1342	1493	722	778	678
GOLGA3	1805	1718	1984	746	702	729
GOLGA4	2544	2816	2894	2304	2302	2150
GOLGA5	866	899	968	658	695	621
GOLGA6A	0.05	1	0.05	1	0.05	1
GOLGA6B	1	0.05	1	0.05	0.05	0.05
GOLGA6C	0.05	0.05	0.05	3	1	1
GOLGA6D	0.05	1	0.05	0.05	0.05	1
GOLGA6L1	0.05	0.05	0.05	0.05	0.05	0.05
GOLGA6L2	0.05	1	1	0.05	0.05	0.05
GOLGA6L3	12	7	12	10	10	4
GOLGA6L4	27	22	27	51	25	34
